parent_sku,min_qty,max_qty,unit_price
B2BRSMON-0091,25,49,195
B2BRSMON-0091,50,99,180
B2BRSMON-0091,100,249,170
B2BRSMON-0091,250,,160
B2BRSMON-0092,25,49,195
B2BRSMON-0092,50,99,180
B2BRSMON-0092,100,249,170
B2BRSMON-0092,250,,160
B2BRSMON-0093,25,49,195
B2BRSMON-0093,50,99,180
B2BRSMON-0093,100,249,170
B2BRSMON-0093,250,,160
B2BRSMON-0094,25,49,195
B2BRSMON-0094,50,99,180
B2BRSMON-0094,100,249,170
B2BRSMON-0094,250,,160
B2BRSMON-0095,25,49,195
B2BRSMON-0095,50,99,180
B2BRSMON-0095,100,249,170
B2BRSMON-0095,250,,160
B2BRSMON-0096,25,49,195
B2BRSMON-0096,50,99,180
B2BRSMON-0096,100,249,170
B2BRSMON-0096,250,,160
B2BRSMON-0097,25,49,195
B2BRSMON-0097,50,99,180
B2BRSMON-0097,100,249,170
B2BRSMON-0097,250,,160
B2BRSMON-0098,25,49,210
B2BRSMON-0098,50,99,195
B2BRSMON-0098,100,249,185
B2BRSMON-0098,250,,170
B2BRSMON-0099,25,49,210
B2BRSMON-0099,50,99,195
B2BRSMON-0099,100,249,185
B2BRSMON-0099,250,,170
B2BRSMON-0013,25,49,1650
B2BRSMON-0013,50,99,1535
B2BRSMON-0013,100,249,1450
B2BRSMON-0013,250,,1355
B2BRSMON-0071,25,49,1650
B2BRSMON-0071,50,99,1535
B2BRSMON-0071,100,249,1450
B2BRSMON-0071,250,,1355
B2BRSMON-0068,25,49,1550
B2BRSMON-0068,50,99,1440
B2BRSMON-0068,100,249,1365
B2BRSMON-0068,250,,1270
B2BRSMON-0069,25,49,1550
B2BRSMON-0069,50,99,1440
B2BRSMON-0069,100,249,1365
B2BRSMON-0069,250,,1270
B2BRSMON-0072,25,49,1650
B2BRSMON-0072,50,99,1535
B2BRSMON-0072,100,249,1450
B2BRSMON-0072,250,,1355
B2BRSMON-0073,25,49,1650
B2BRSMON-0073,50,99,1535
B2BRSMON-0073,100,249,1450
B2BRSMON-0073,250,,1355
B2BRSMON-0075,25,49,2250
