sku,name,category,subcategory,description,moq,gst_rate,base_price,has_sizes,image,lead_time_days,active,sort_order
B2BRSMON-0096,OMG Mesh Cap- Standard Grey,Apparel,Headwear,"This ultra-breathable cap is extra comfortable
Fabric: 100% cotton twill front panels; 100% polyester mesh mid and back panels
Structure: Structured
Closure: Velcro
Colour:  Grey",25,5,195,FALSE,assets/products/B2BRSMON-0096.png,14,TRUE,0
B2BRSMON-0095,OMG Mesh Cap- Standard Navy Blue,Apparel,Headwear,"This ultra-breathable cap is extra comfortable
Fabric: 100% cotton twill front panels; 100% polyester mesh mid and back panels
Structure: Structured
Closure: Velcro
Colour:  Navy Blue",25,5,195,FALSE,assets/products/B2BRSMON-0095.png,14,TRUE,1
B2BRSMON-0097,OMG Mesh Cap- Standard White,Apparel,Headwear,"This ultra-breathable cap is extra comfortable
Fabric: 100% cotton twill front panels; 100% polyester mesh mid and back panels
Structure: Structured
Closure: Velcro
Colour: White",25,5,195,FALSE,assets/products/B2BRSMON-0097.png,14,TRUE,2
B2BRSMON-0099,OMG Polyester Cap- Standar Grey,Apparel,Headwear,"Material: Polyester, 140 gsm
Head Circumference: 52 cm
Gender: Unisex
Size: Free Size
Colour:  Grey",25,5,210,FALSE,assets/products/B2BRSMON-0099.png,14,TRUE,3
B2BRSMON-0098,OMG Polyester Cap- Standard Navy Blue,Apparel,Headwear,"Material: Polyester, 140 gsm
Head Circumference: 52 cm
Gender: Unisex
Size: Free Size
Colour:  Navy Blue",25,5,210,FALSE,assets/products/B2BRSMON-0098.png,14,TRUE,4
B2BRSMON-0092,OMG Twill Cotton Cap- Standard Grey,Apparel,Headwear,"An unstructured version of our popular structured twill cap
Fabric: 100% cotton twill, Embroidery Logo
Closure: Hook and loop
Colour: Grey",25,5,195,FALSE,assets/products/B2BRSMON-0092.png,14,TRUE,5
B2BRSMON-0093,OMG Twill Cotton Cap- Standard Navy Blue,Apparel,Headwear,"An unstructured version of our popular structured twill cap
Fabric: 100% cotton twill, Embroidery Logo
Closure: Hook and loop
Colour:Navy Blue",25,5,195,FALSE,assets/products/B2BRSMON-0093.png,14,TRUE,6
B2BRSMON-0094,OMG Twill Cotton Cap- Standard Sky Blue,Apparel,Headwear,"An unstructured version of our popular structured twill cap
Fabric: 100% cotton twill, Embroidery Logo
Closure: Hook and loop
Colour:Blue",25,5,195,FALSE,assets/products/B2BRSMON-0094.png,14,TRUE,7
B2BRSMON-0091,OMG Twill Cotton Cap- Standard White,Apparel,Headwear,"An unstructured version of our popular structured twill cap
Fabric: 100% cotton twill, Embroidery Logo
Closure: Hook and loop
Colour:White",25,5,195,FALSE,assets/products/B2BRSMON-0091.png,14,TRUE,8
B2BRSMON-0081,Jack and Jones Hoodie - Unisex,Apparel,Hoodies,"This classic hoodie jacket is a versatile piece crafted from high-quality fabric to ensure the best comfort. Made with A-Grade fabric for enhanced breathability, it's perfect for everyday wear.
Material: 60% Cotton and 40% Polyester
GSM: 280
Bio-washed
Colour: Navy Blue",25,5,2250,TRUE,assets/products/B2BRSMON-0081.png,14,TRUE,9
B2BRSMON-0080,Reebok Hoodie - Unisex,Apparel,Hoodies,"Material: High-quality blends like cotton, polyester, or fleece for warmth and durability.
Designs: Pullover or zip-up styles.
Fits: Relaxed or slim fits to suit different preferences.
Functionality: Kangaroo pockets or zippered compartments for storage.
Colour: Black",25,5,2050,TRUE,assets/products/B2BRSMON-0080.png,14,TRUE,10
B2BRSMON-0087,Adidas Windcheater - Unisex,Apparel,Jackets,"Adidas Jacket
Colour: Navy Blue",25,5,2850,TRUE,assets/products/B2BRSMON-0087.png,14,TRUE,11
B2BRSMON-0082,Indian Terrain Jacket - Unisex,Apparel,Jackets,"This classic style garment is crafted from high-quality polyester, offering durability and comfort. Designed with insert pockets and a regular fit, it’s perfect for everyday wear.
Material: Polyester
Fit: Regular Fit
Wash: Machine wash cold
Style: Classic
Colour: Navy Blue",25,5,2250,TRUE,assets/products/B2BRSMON-0082.png,14,TRUE,12
B2BRSMON-0086,Jack & Jones Windcheater - Unisex,Apparel,Jackets,"Vilmar Jacket is made of 100% polyester for high-quality comfort and style. PU coating adds durability. The jacket is lightweight and crafted responsibly.
Colour: Navy Blue",25,5,3100,TRUE,assets/products/B2BRSMON-0086.png,14,TRUE,13
