variant_sku,parent_sku,size,stock_qty,active
B2BRSMON-0013_XS,B2BRSMON-0013,XS,50,TRUE
B2BRSMON-0013_S,B2BRSMON-0013,S,50,TRUE
B2BRSMON-0013_M,B2BRSMON-0013,M,50,TRUE
B2BRSMON-0013_L,B2BRSMON-0013,L,50,TRUE
B2BRSMON-0013_XL,B2BRSMON-0013,XL,50,TRUE
B2BRSMON-0013_2XL,B2BRSMON-0013,2XL,50,TRUE
B2BRSMON-0071_XS,B2BRSMON-0071,XS,50,TRUE
B2BRSMON-0071_S,B2BRSMON-0071,S,50,TRUE
B2BRSMON-0071_M,B2BRSMON-0071,M,50,TRUE
B2BRSMON-0071_L,B2BRSMON-0071,L,50,TRUE
B2BRSMON-0071_XL,B2BRSMON-0071,XL,50,TRUE
B2BRSMON-0071_2XL,B2BRSMON-0071,2XL,50,TRUE
B2BRSMON-0068_XS,B2BRSMON-0068,XS,50,TRUE
B2BRSMON-0068_S,B2BRSMON-0068,S,50,TRUE
B2BRSMON-0068_M,B2BRSMON-0068,M,50,TRUE
B2BRSMON-0068_L,B2BRSMON-0068,L,50,TRUE
B2BRSMON-0068_XL,B2BRSMON-0068,XL,50,TRUE
B2BRSMON-0068_2XL,B2BRSMON-0068,2XL,50,TRUE
B2BRSMON-0068_3XL,B2BRSMON-0068,3XL,50,TRUE
B2BRSMON-0069_XS,B2BRSMON-0069,XS,50,TRUE
B2BRSMON-0069_S,B2BRSMON-0069,S,50,TRUE
B2BRSMON-0069_M,B2BRSMON-0069,M,50,TRUE
B2BRSMON-0069_L,B2BRSMON-0069,L,50,TRUE
B2BRSMON-0069_XL,B2BRSMON-0069,XL,50,TRUE
B2BRSMON-0069_2XL,B2BRSMON-0069,2XL,50,TRUE
B2BRSMON-0069_3XL,B2BRSMON-0069,3XL,50,TRUE
B2BRSMON-0072_XS,B2BRSMON-0072,XS,50,TRUE
B2BRSMON-0072_S,B2BRSMON-0072,S,50,TRUE
B2BRSMON-0072_M,B2BRSMON-0072,M,50,TRUE
B2BRSMON-0072_L,B2BRSMON-0072,L,50,TRUE
B2BRSMON-0072_XL,B2BRSMON-0072,XL,50,TRUE
B2BRSMON-0072_2XL,B2BRSMON-0072,2XL,50,TRUE
B2BRSMON-0072_3XL,B2BRSMON-0072,3XL,50,TRUE
B2BRSMON-0073_XS,B2BRSMON-0073,XS,50,TRUE
B2BRSMON-0073_S,B2BRSMON-0073,S,50,TRUE
B2BRSMON-0073_M,B2BRSMON-0073,M,50,TRUE
B2BRSMON-0073_L,B2BRSMON-0073,L,50,TRUE
B2BRSMON-0073_XL,B2BRSMON-0073,XL,50,TRUE
B2BRSMON-0073_2XL,B2BRSMON-0073,2XL,50,TRUE
B2BRSMON-0073_3XL,B2BRSMON-0073,3XL,50,TRUE
B2BRSMON-0075_XS,B2BRSMON-0075,XS,50,TRUE
B2BRSMON-0075_S,B2BRSMON-0075,S,50,TRUE
B2BRSMON-0075_M,B2BRSMON-0075,M,50,TRUE
B2BRSMON-0075_L,B2BRSMON-0075,L,50,TRUE
B2BRSMON-0075_XL,B2BRSMON-0075,XL,50,TRUE
B2BRSMON-0075_2XL,B2BRSMON-0075,2XL,50,TRUE
B2BRSMON-0076_XS,B2BRSMON-0076,XS,50,TRUE
B2BRSMON-0076_S,B2BRSMON-0076,S,50,TRUE
B2BRSMON-0076_M,B2BRSMON-0076,M,50,TRUE
B2BRSMON-0076_L,B2BRSMON-0076,L,50,TRUE
B2BRSMON-0076_XL,B2BRSMON-0076,XL,50,TRUE
B2BRSMON-0076_2XL,B2BRSMON-0076,2XL,50,TRUE
B2BRSMON-0077_XS,B2BRSMON-0077,XS,50,TRUE
B2BRSMON-0077_S,B2BRSMON-0077,S,50,TRUE
B2BRSMON-0077_M,B2BRSMON-0077,M,50,TRUE
B2BRSMON-0077_L,B2BRSMON-0077,L,50,TRUE
B2BRSMON-0077_XL,B2BRSMON-0077,XL,50,TRUE
B2BRSMON-0077_2XL,B2BRSMON-0077,2XL,50,TRUE
B2BRSMON-0078_XS,B2BRSMON-0078,XS,50,TRUE
B2BRSMON-0078_S,B2BRSMON-0078,S,50,TRUE
B2BRSMON-0078_M,B2BRSMON-0078,M,50,TRUE
B2BRSMON-0078_L,B2BRSMON-0078,L,50,TRUE
B2BRSMON-0078_XL,B2BRSMON-0078,XL,50,TRUE
B2BRSMON-0078_2XL,B2BRSMON-0078,2XL,50,TRUE
B2BRSMON-0079_XS,B2BRSMON-0079,XS,50,TRUE
B2BRSMON-0079_S,B2BRSMON-0079,S,50,TRUE
B2BRSMON-0079_M,B2BRSMON-0079,M,50,TRUE
B2BRSMON-0079_L,B2BRSMON-0079,L,50,TRUE
B2BRSMON-0079_XL,B2BRSMON-0079,XL,50,TRUE
B2BRSMON-0079_2XL,B2BRSMON-0079,2XL,50,TRUE
B2BRSMON-0003_XS,B2BRSMON-0003,XS,50,TRUE
B2BRSMON-0003_S,B2BRSMON-0003,S,50,TRUE
B2BRSMON-0003_M,B2BRSMON-0003,M,50,TRUE
B2BRSMON-0003_L,B2BRSMON-0003,L,50,TRUE
B2BRSMON-0003_XL,B2BRSMON-0003,XL,50,TRUE
B2BRSMON-0003_2XL,B2BRSMON-0003,2XL,50,TRUE
B2BRSMON-0004_XS,B2BRSMON-0004,XS,0,TRUE
